abandonment_reason,abandonment_reason_work,age_group,cart_abandonment,city,competitor_primary,competitor_usage,competitor_usage_flag,competitor_usage_work,decision_factor,decision_factor_work,decision_style,delivery_delay,delivery_delay_score,Sum of factor_cuisine_preference,Sum of factor_delivery_time,Sum of factor_discounts_offers,Sum of factor_price,Sum of factor_rating_reviews,improvement,improvement_category,improvement_clean,intent,intent _clean,intent_group,occupation,Sum of reason_changed_mind,Sum of reason_found_better_option,Sum of reason_high_delivery_charges,Sum of reason_long_delivery_time,satisfaction,satisfaction_score,usage_frequency
"Changed My Mind, Found A Better Option","Changed My Mind, Found A Better Option",18-24,Yes,Bangalore,Others,Not Now,0,not now,"Ratings & Reviews, Cuisine Preference","Ratings & Reviews, Cuisine Preference",Compare,Rarely,1,1,0,0,0,1,This Reduces Frustration When Delays Happen,App/UX Issue,this reduces frustration when delays happen,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Other,1,1,0,0,Very Satisfied,5,Frequently
"Changed My Mind, Found A Better Option","Changed My Mind, Found A Better Option",18-24,Yes,Noida,Swiggy,Mostly Prefer Swiggy Over Zomato. Better Ui/Ux And More Options Available. Also Swiggy'S Food In 10 Mins Is A Life Saver When In Need Of A Proper Meal.,1,mostly prefer swiggy over zomato. better ui/ux and more options available. also swiggy's food in 10 mins is a life saver when in need of a proper meal.,"Price, Ratings & Reviews, Delivery Time","Price, Ratings & Reviews, Delivery Time",Browse,Sometimes,2,0,1,0,1,1,Bring Back Zomato Homely. It Was Really Something.,Others,bring back zomato homely. it was really something.,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Other,1,1,0,0,Neutral,3,Frequently
"Changed My Mind, Found A Better Option","Changed My Mind, Found A Better Option",18-24,Yes,Sirsa,Others,Yes,1,yes,"Price, Delivery Time, Discounts/Offers","Price, Delivery Time, Discounts/Offers",Compare,Sometimes,2,0,1,1,1,0,Customer Support,Customer Support,customer support,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Student,1,1,0,0,Neutral,3,Weekly
"Changed My Mind, Found A Better Option","Changed My Mind, Found A Better Option",25-34,No,Gurgaon,Others,Yes,1,yes,"Ratings & Reviews, Cuisine Preference","Ratings & Reviews, Cuisine Preference",Quickly,Sometimes,2,1,0,0,0,1,Pricing And Delivery Duration,Delivery Issue,pricing and delivery duration,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Working Professional,1,1,0,0,Neutral,3,Weekly
"Changed My Mind, Found A Better Option","Changed My Mind, Found A Better Option",25-34,Yes,Noida,Others,Yes,1,yes,"Delivery Time, Discounts/Offers, Cuisine Preference","Delivery Time, Discounts/Offers, Cuisine Preference",Compare,Sometimes,2,1,1,1,0,0,Coordination With Few Restaurants As Order As Some Restaurants' Services Are Not Good Enough,Customer Support,coordination with few restaurants as order as some restaurants' services are not good enough,Just Browsing Options,Just browsing options,Low Intent,Working Professional,1,1,0,0,Very Satisfied,5,Frequently
Found A Better Option,Found A Better Option,18-24,Yes,Ahmedabad,Others,"Yes, For Options",1,"yes, for options",Ratings & Reviews,Ratings & Reviews,Compare,Very Often,4,0,0,0,0,1,There Customer Care Service.,Customer Support,there customer care service.,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Working Professional,0,1,0,0,Neutral,3,Frequently
Found A Better Option,Found A Better Option,25-34,No,Gurgoan,Swiggy,"“Yes, I Use Swiggy As Well. Mainly To Compare Delivery Time, And Offers. Sometimes Swiggy Has Better Discounts Or Faster Delivery Depending On The Location.",1,"“yes, i use swiggy as well. mainly to compare delivery time, and offers. sometimes swiggy has better discounts or faster delivery depending on the location.",Ratings & Reviews,Ratings & Reviews,Quickly,Sometimes,2,0,0,0,0,1,Reduce Extra Charges Like Platform Fees And Improve Delivery Time Consistency.,Pricing Issue,reduce extra charges like platform fees and improve delivery time consistency.,Just Browsing Options,Just browsing options,Low Intent,Working Professional,0,1,0,0,Neutral,3,Frequently
Found A Better Option,Found A Better Option,25-34,No,Sirsa,Swiggy,Some Restaurant On Swiggy,1,some restaurant on swiggy,Price,Price,Compare,Very Often,4,0,0,0,1,0,Packaging Quality,Others,packaging quality,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Student,0,1,0,0,Neutral,3,Frequently
Found A Better Option,Found A Better Option,25-34,Yes,Chandigarh,Others,"Yes, Comparison And Better Alternatives",1,"yes, comparison and better alternatives","Price, Ratings & Reviews, Delivery Time, Discounts/Offers","Price, Ratings & Reviews, Delivery Time, Discounts/Offers",Browse,Sometimes,2,0,1,1,1,1,Price Discounts,Pricing Issue,price discounts,Looking For Offers/Discounts,Looking for offers/discounts,Low Intent,Working Professional,0,1,0,0,Neutral,3,Frequently
High Delivery Charges,High Delivery Charges,18-24,No,Bijnor,Others,No.,0,no.,Ratings & Reviews,Ratings & Reviews,Compare,Sometimes,2,0,0,0,0,1,Offers,Offers & Discounts,offers,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Student,0,0,1,0,Neutral,3,Frequently
High Delivery Charges,High Delivery Charges,18-24,No,Sirsa,Others,No,0,no,Ratings & Reviews,Ratings & Reviews,Quickly,Rarely,1,0,0,0,0,1,Your Delivery Charges,Pricing Issue,your delivery charges,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Student,0,0,1,0,Neutral,3,Weekly
