abandonment_reason,abandonment_reason_work,age_group,cart_abandonment,city,competitor_primary,competitor_usage,competitor_usage_flag,competitor_usage_work,decision_factor,decision_factor_work,decision_style,delivery_delay,delivery_delay_score,Sum of factor_cuisine_preference,Sum of factor_delivery_time,Sum of factor_discounts_offers,Sum of factor_price,Sum of factor_rating_reviews,improvement,improvement_category,improvement_clean,intent,intent _clean,intent_group,occupation,Sum of reason_changed_mind,Sum of reason_found_better_option,Sum of reason_high_delivery_charges,Sum of reason_long_delivery_time,satisfaction,satisfaction_score,usage_frequency
High Delivery Charges,High Delivery Charges,35+,Yes,Sirsa,Others,No,0,no,Price,Price,Browse,Very Often,4,0,0,0,1,0,You Should Improve Your Delivery Time,Delivery Issue,you should improve your delivery time,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Working Professional,0,0,1,0,Neutral,3,Weekly
"High Delivery Charges, Changed My Mind","High Delivery Charges, Changed My Mind",25-34,Yes,Delhi,Others,Not Much Because Of Unsatisfactory Response,0,not much because of unsatisfactory response,"Price, Ratings & Reviews, Delivery Time","Price, Ratings & Reviews, Delivery Time",Compare,Sometimes,2,0,1,0,1,1,Reduce Platform Fees,Others,reduce platform fees,Exploring Restaurants,Exploring restaurants,Low Intent,Working Professional,1,0,1,0,Neutral,3,Weekly
"High Delivery Charges, Changed My Mind","High Delivery Charges, Changed My Mind",25-34,Yes,Gurgaon,Swiggy,Mainly Swiggy Instamart/Blinkit,1,mainly swiggy instamart/blinkit,"Ratings & Reviews, Delivery Time, Discounts/Offers","Ratings & Reviews, Delivery Time, Discounts/Offers",Compare,Rarely,1,0,1,1,0,1,"Don'T Use It Much, Maybe Better Customer Service (The Reason I Uninstalled It).",Customer Support,"don't use it much, maybe better customer service (the reason i uninstalled it).",I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Working Professional,1,0,1,0,Neutral,3,Rarely
"High Delivery Charges, Changed My Mind, Found A Better Option","High Delivery Charges, Changed My Mind, Found A Better Option",25-34,Yes,Delhi,Others,"Yes, Same Price Differnce For The Same",1,"yes, same price differnce for the same","Price, Ratings & Reviews, Cuisine Preference","Price, Ratings & Reviews, Cuisine Preference",Compare,Very Often,4,1,0,0,1,1,Price And Discounts,Pricing Issue,price and discounts,Exploring Restaurants,Exploring restaurants,Low Intent,Working Professional,1,1,1,0,Neutral,3,Weekly
"High Delivery Charges, Found A Better Option","High Delivery Charges, Found A Better Option",25-34,No,Bangalore,Others,"Yes, Attractive Discounts & Offers",1,"yes, attractive discounts & offers","Price, Ratings & Reviews, Delivery Time, Discounts/Offers","Price, Ratings & Reviews, Delivery Time, Discounts/Offers",Compare,Sometimes,2,0,1,1,1,1,Competitive Offers And Discounts,Offers & Discounts,competitive offers and discounts,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Working Professional,0,1,1,0,Very Satisfied,5,Daily
"High Delivery Charges, Found A Better Option","High Delivery Charges, Found A Better Option",25-34,Yes,Delhi,Others,Genuinely For Better Offers??,1,genuinely for better offers??,"Price, Ratings & Reviews, Discounts/Offers","Price, Ratings & Reviews, Discounts/Offers",Compare,Rarely,1,0,0,1,1,1,It Should Also Provide Better Offers To Regular Loyal Customers..As New Customer,Offers & Discounts,it should also provide better offers to regular loyal customers..as new customer,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Working Professional,0,1,1,0,Neutral,3,Weekly
"High Delivery Charges, Found A Better Option","High Delivery Charges, Found A Better Option",25-34,Yes,Faridabad,Swiggy,Yes Sometimes Because Swiggy Have Better Discounts,1,yes sometimes because swiggy have better discounts,"Price, Ratings & Reviews, Discounts/Offers","Price, Ratings & Reviews, Discounts/Offers",Compare,Sometimes,2,0,0,1,1,1,Discounts And Prices,Pricing Issue,discounts and prices,Looking For Offers/Discounts,Looking for offers/discounts,Low Intent,Other,0,1,1,0,Neutral,3,Rarely
"High Delivery Charges, Long Delivery Time","High Delivery Charges, Long Delivery Time",18-24,Yes,Delhi,Others,Not Much Cuz The Price Is High There,0,not much cuz the price is high there,Price,Price,Browse,Rarely,1,0,0,0,1,0,Platform Fee Should Be Minimal,Others,platform fee should be minimal,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Working Professional,0,0,1,1,Very Satisfied,5,Weekly
"High Delivery Charges, Long Delivery Time","High Delivery Charges, Long Delivery Time",18-24,Yes,Gurgaon,Zomato,"Not As Such, Zomato Is The Primary Application For Me To Order The Food Online",0,"not as such, zomato is the primary application for me to order the food online","Price, Ratings & Reviews, Discounts/Offers","Price, Ratings & Reviews, Discounts/Offers",Compare,Sometimes,2,0,0,1,1,1,Dilivery Charges,Pricing Issue,dilivery charges,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Working Professional,0,0,1,1,Neutral,3,Frequently
"High Delivery Charges, Long Delivery Time","High Delivery Charges, Long Delivery Time",18-24,Yes,Hyderabad,Others,To Compare Pricing,1,to compare pricing,Cuisine Preference,Cuisine Preference,Compare,Sometimes,2,1,0,0,0,0,..,Others,..,Looking For Offers/Discounts,Looking for offers/discounts,Low Intent,Working Professional,0,0,1,1,Very Satisfied,5,Weekly
